Frame#,Time,LTOP_X,LTOP_Y,LTOP_Z,LFRONT_X,LFRONT_Y,LFRONT_Z,LBACK_X,LBACK_Y,LBACK_Z,RTOP_X,RTOP_Y,RTOP_Z,RFRONT_X,RFRONT_Y,RFRONT_Z,RBACK_X,RBACK_Y,RBACK_Z,TL1_X,TL1_Y,TL1_Z,TR1_X,TR1_Y,TR1_Z,BR1_X,BR1_Y,BR1_Z,BL1_X,BL1_Y,BL1_Z,TL2_X,TL2_Y,TL2_Z,TR2_X,TR2_Y,TR2_Z,BR2_X,BR2_Y,BR2_Z,BL2_X,BL2_Y,BL2_Z,TL3_X,TL3_Y,TL3_Z,TR3_X,TR3_Y,TR3_Z,BR3_X,BR3_Y,BR3_Z,BL3_X,BL3_Y,BL3_Z,TL4_X,TL4_Y,TL4_Z,BR4_X,BR4_Y,BR4_Z,BL4_X,BL4_Y,BL4_Z,TR4_X,TR4_Y,TR4_Z
1,0.0,-594.1752319335938,-493.62689208984375,884.6148681640625,-576.1829833984375,-528.7293701171875,833.224609375,-531.4492797851562,-534.4964599609375,847.8466186523438,-501.1335754394531,-290.26904296875,877.2935180664062,-546.0286254882812,-263.8952941894531,853.9053955078125,-481.2558288574219,-263.1895751953125,829.6004638671875,-1750.7548828125,-119.9295425415039,537.9447021484375,-1748.8546142578125,-260.98590087890625,537.3368530273438,-1781.7724609375,-258.30029296875,673.4241333007812,-1784.040771484375,-117.95218658447266,674.700439453125,-1740.86572265625,-492.6907043457031,526.9909057617188,-1744.4439697265625,-633.1287841796875,521.19189453125,-1766.6732177734375,-636.9111328125,663.9541015625,-1772.6793212890625,-492.9573669433594,662.1063842773438,-1784.7215576171875,-490.2714538574219,713.5263061523438,-1778.4603271484375,-632.9998779296875,718.409423828125,-1808.0546875,-632.3192749023438,857.6876220703125,-1811.9674072265625,-492.90875244140625,853.761962890625,-1795.82373046875,-116.42483520507812,724.1478271484375,-1822.7880859375,-260.51763916015625,860.2940673828125,-1825.2152099609375,-117.46769714355469,862.6951293945312,,,
2,0.005,-594.1610717773438,-493.622802734375,884.5811157226562,-576.1280517578125,-528.7393798828125,833.2083740234375,-531.4149780273438,-534.516845703125,847.8401489257812,-501.1001892089844,-290.2831726074219,877.2816772460938,-546.0206298828125,-263.8959655761719,853.9111328125,-481.2458190917969,-263.19720458984375,829.5944213867188,-1750.7744140625,-119.90601348876953,537.923095703125,-1748.8607177734375,-260.9965515136719,537.3175048828125,-1781.8038330078125,-258.2002258300781,673.39599609375,-1783.9697265625,-117.96517944335938,674.6278686523438,-1740.80615234375,-492.75604248046875,527.0631713867188,-1744.3997802734375,-633.1423950195312,521.1825561523438,-1766.7548828125,-636.9064331054688,663.9264526367188,-1767.623046875,-495.065673828125,665.2120361328125,-1784.7279052734375,-490.1802673339844,713.48046875,-1778.4351806640625,-633.0253295898438,718.4262084960938,-1808.032470703125,-632.3014526367188,857.7115478515625,-1811.9462890625,-492.8448791503906,853.756591796875,-1795.795166015625,-116.47566223144531,724.1836547851562,-1818.5546875,-264.52813720703125,860.4307250976562,-1821.28271484375,-120.80113983154297,862.898193359375,,,
3,0.01,-594.192626953125,-493.62579345703125,884.63232421875,-572.7507934570312,-523.361572265625,828.2197875976562,-531.390625,-534.4835815429688,847.7918090820312,-501.0675048828125,-290.2519836425781,877.2189331054688,-546.0133056640625,-263.8977355957031,853.8950805664062,-481.21990966796875,-263.19073486328125,829.5471801757812,-1750.7850341796875,-119.95230102539062,537.9630126953125,-1748.8662109375,-260.96221923828125,537.3075561523438,-1781.7484130859375,-258.2862548828125,673.4597778320312,-1784.0692138671875,-117.96404266357422,674.7471313476562,-1741.259033203125,-492.4891357421875,526.8702392578125,-1744.40966796875,-633.0459594726562,521.2303466796875,-1766.56787109375,-636.9721069335938,664.0054931640625,-1772.7218017578125,-493.2536926269531,662.5427856445312,-1784.7158203125,-490.2129821777344,713.4909057617188,-1778.3109130859375,-633.064208984375,718.4837646484375,-1807.993408203125,-632.3590087890625,857.7557983398438,-1811.956787109375,-492.8601989746094,853.7639770507812,-1795.8658447265625,-116.34628295898438,724.0794067382812,-1822.8321533203125,-260.2591857910156,860.042236328125,-1825.2418212890625,-117.44579315185547,862.7319946289062,-1794.7303466796875,-258.9395446777344,719.9645385742188
4,0.015,-594.1939086914062,-493.6337890625,884.6304931640625,-576.1163940429688,-528.6761474609375,833.1453247070312,-531.39697265625,-534.5115966796875,847.803955078125,-501.0809020996094,-290.260009765625,877.205078125,-546.0133666992188,-263.9143981933594,853.8967895507812,-481.2232971191406,-263.1955871582031,829.5759887695312,-1750.765869140625,-119.92436218261719,537.9422607421875,-1748.8214111328125,-261.046875,537.3388061523438,-1781.8045654296875,-258.16619873046875,673.3583984375,-1784.052978515625,-117.96007537841797,674.7053833007812,-1740.9251708984375,-492.7095947265625,527.021240234375,-1744.45166015625,-633.1328735351562,521.2028198242188,-1766.5892333984375,-636.9422607421875,664.0363159179688,-1772.7041015625,-493.0423583984375,662.2383422851562,-1784.7276611328125,-490.75677490234375,714.0550537109375,-1778.404541015625,-633.0609741210938,718.4033203125,-1808.0311279296875,-632.282470703125,857.6824340820312,-1811.9915771484375,-492.86309814453125,853.82421875,-1795.8043212890625,-116.50737762451172,724.1998901367188,-1822.8077392578125,-260.2757263183594,860.0684204101562,-1825.27099609375,-117.4802017211914,862.7527465820312,-1794.70263671875,-258.977294921875,719.9256591796875
5,0.02,-594.17919921875,-493.64959716796875,884.6001586914062,-576.304443359375,-528.7115478515625,833.338134765625,-531.3660278320312,-534.508056640625,847.7883911132812,-501.0898132324219,-290.28521728515625,877.2701416015625,-546.0431518554688,-263.8992004394531,853.9179077148438,-481.24420166015625,-263.21185302734375,829.5913696289062,-1750.7305908203125,-119.99127197265625,537.9691162109375,-1748.8577880859375,-261.01934814453125,537.3201293945312,-1781.8060302734375,-258.3321838378906,673.4051513671875,-1784.0223388671875,-118.00222778320312,674.7164916992188,-1740.78125,-492.7381286621094,527.0875854492188,-1744.4185791015625,-633.036376953125,521.1154174804688,-1766.8966064453125,-636.8014526367188,663.8055419921875,-1772.674560546875,-493.12701416015625,662.3576049804688,-1784.730224609375,-490.21923828125,713.5230102539062,-1778.2786865234375,-633.0977783203125,718.5481567382812,-1808.0341796875,-632.3264770507812,857.659423828125,-1811.9605712890625,-492.767578125,853.7350463867188,-1795.8358154296875,-116.36808013916016,724.0899047851562,-1822.83251953125,-260.28826904296875,860.039306640625,-1825.241455078125,-117.48837280273438,862.7083740234375,-1794.664794921875,-258.89697265625,719.945068359375
6,0.025,-594.172607421875,-493.6608581542969,884.5960083007812,-572.79541015625,-523.468994140625,828.2708740234375,-531.408203125,-534.5437622070312,847.8233642578125,-501.1097717285156,-290.2890930175781,877.2977905273438,-546.05810546875,-263.911865234375,853.9352416992188,-481.2417907714844,-263.2182312011719,829.6072998046875,-1750.7967529296875,-119.94112396240234,537.920654296875,-1748.886962890625,-261.0148620605469,537.3068237304688,-1781.7510986328125,-258.3908996582031,673.4761352539062,-1783.86328125,-117.93544006347656,674.439453125,-1740.711669921875,-492.76910400390625,527.0677490234375,-1744.487060546875,-633.047119140625,521.117431640625,-1766.71728515625,-636.9075927734375,663.9381103515625,-1772.6685791015625,-492.9767150878906,662.1221923828125,-1784.7037353515625,-490.2239074707031,713.4793090820312,-1778.4989013671875,-633.0169067382812,718.4013671875,-1808.0072021484375,-632.3896484375,857.7156372070312,-1811.9327392578125,-492.8247985839844,853.7734985351562,-1795.8604736328125,-116.43888092041016,724.1351928710938,-1822.7325439453125,-260.8966064453125,860.4987182617188,-1825.265869140625,-117.6806869506836,862.9609985351562,-1794.7109375,-258.8704528808594,719.8678588867188
7,0.03,-594.2060546875,-493.6790771484375,884.6016235351562,-574.8002319335938,-525.9021606445312,830.3515014648438,-531.3060913085938,-534.492919921875,847.7177124023438,-501.0051574707031,-290.2900085449219,877.232421875,-546.0497436523438,-263.9144287109375,853.9213256835938,-481.2425231933594,-263.1968994140625,829.580810546875,-1750.734130859375,-120.01751708984375,537.97705078125,-1748.847900390625,-261.0698547363281,537.3012084960938,-1781.853271484375,-258.3381042480469,673.436767578125,-1783.904541015625,-117.90502166748047,674.3857421875,-1740.9635009765625,-492.61993408203125,527.0122680664062,-1744.4227294921875,-633.0497436523438,521.1560668945312,-1766.614501953125,-636.9627075195312,663.9970092773438,-1772.6480712890625,-493.29156494140625,662.5051879882812,-1784.6929931640625,-490.2611389160156,713.5231323242188,-1778.394287109375,-633.0402221679688,718.4817504882812,-1808.046142578125,-632.2462158203125,857.5797119140625,-1811.93701171875,-492.7461853027344,853.7157592773438,-1795.7833251953125,-116.46940612792969,724.13134765625,-1822.7806396484375,-260.3602294921875,860.0886840820312,-1825.247802734375,-117.49544525146484,862.7755737304688,-1786.0382080078125,-261.6546936035156,725.9141845703125
8,0.035,-594.186767578125,-493.6816101074219,884.5782470703125,-572.8804931640625,-523.5847778320312,828.3301391601562,-531.2940673828125,-534.5298461914062,847.7211303710938,-501.001220703125,-290.30743408203125,877.2418823242188,-546.0079345703125,-263.89276123046875,853.8692626953125,-481.251953125,-263.19940185546875,829.574462890625,-1750.7686767578125,-119.99443817138672,537.925048828125,-1748.8780517578125,-261.07220458984375,537.337890625,-1781.8349609375,-258.3507385253906,673.445068359375,-1784.0166015625,-118.01089477539062,674.6675415039062,-1740.740478515625,-492.7664489746094,527.0851440429688,-1744.470703125,-633.0166625976562,521.1320190429688,-1766.71435546875,-636.8651123046875,663.8699340820312,-1772.678466796875,-493.13653564453125,662.284423828125,-1784.72412109375,-490.5268249511719,713.7514038085938,-1778.297119140625,-633.1074829101562,718.511962890625,-1808.031005859375,-632.2395629882812,857.5218505859375,-1811.9271240234375,-492.80023193359375,853.7990112304688,-1795.7957763671875,-116.60908508300781,724.1852416992188,-1822.8055419921875,-260.3539123535156,860.0574951171875,-1825.248779296875,-117.52586364746094,862.7329711914062,-1786.3153076171875,-261.4416809082031,725.7837524414062
9,0.04,-594.178466796875,-493.6694641113281,884.5712280273438,-574.9277954101562,-525.9769897460938,830.5374145507812,-531.2926025390625,-534.5413818359375,847.7141723632812,-501.0387268066406,-290.3224792480469,877.2979125976562,-546.052490234375,-263.92645263671875,853.9347534179688,-481.2638244628906,-263.19366455078125,829.60693359375,-1750.7723388671875,-119.9906997680664,537.943359375,-1748.860107421875,-261.1083679199219,537.2883911132812,-1781.80517578125,-258.3876037597656,673.47412109375,-1784.057861328125,-118.00727081298828,674.6304931640625,-1740.8409423828125,-492.70159912109375,527.061279296875,-1744.4376220703125,-633.061279296875,521.1726684570312,-1766.759765625,-636.8416748046875,663.956298828125,-1772.6959228515625,-492.9638977050781,662.0968627929688,-1784.7232666015625,-490.17401123046875,713.450927734375,-1778.4366455078125,-633.02197265625,718.4453735351562,-1808.01220703125,-632.3267211914062,857.5983276367188,-1811.9638671875,-492.8314514160156,853.8424072265625,-1795.8240966796875,-116.55072021484375,724.1895141601562,-1818.6668701171875,-264.25225830078125,860.9669799804688,-1825.298828125,-117.4918212890625,862.7454833984375,-1794.66552734375,-258.7608337402344,720.06298828125
10,0.045,-594.1468505859375,-493.6854553222656,884.548828125,-575.072998046875,-526.0260620117188,830.7155151367188,-531.2161254882812,-534.565673828125,847.6947021484375,-501.0440368652344,-290.312744140625,877.3130493164062,-546.0540161132812,-263.9327392578125,853.9476928710938,-481.2831726074219,-263.22381591796875,829.6300048828125,-1750.788818359375,-119.95086669921875,537.9631958007812,-1748.8685302734375,-261.0593566894531,537.2954711914062,-1781.7904052734375,-258.3607482910156,673.45849609375,-1784.0635986328125,-117.9967041015625,674.654296875,-1740.9224853515625,-492.62518310546875,526.9362182617188,-1744.4508056640625,-632.9483642578125,521.1399536132812,-1766.7064208984375,-636.9342651367188,663.9369506835938,-1772.650390625,-493.0315856933594,662.151611328125,-1784.701904296875,-489.6434326171875,712.9463500976562,-1778.312744140625,-633.0651245117188,718.5048828125,-1808.0494384765625,-632.2801513671875,857.4813232421875,-1811.986083984375,-492.80181884765625,853.7007446289062,-1795.8309326171875,-116.5257797241211,724.1840209960938,-1822.8302001953125,-260.4729919433594,860.1537475585938,-1825.2611083984375,-117.50483703613281,862.7096557617188,-1794.7535400390625,-258.95550537109375,720.0365600585938
